ring_ID,Week_Day,Month_Date,Month,Year,Time,Doorbot_Description,Kind,Detection_Type
6980786916621553000,Sat,03,Jul,2021,12:38:33,Front Door,motion,other_motion
6980789098464939000,Sat,03,Jul,2021,12:47:02,Front Door,motion,other_motion
6980793732734651000,Sat,03,Jul,2021,13:04:59,Front Door,motion,human
6980794303965302000,Sat,03,Jul,2021,13:07:13,Front Door,motion,human
6980795437836668000,Sat,03,Jul,2021,13:11:36,Front Door,motion,human
6980795828678692000,Sat,03,Jul,2021,13:13:06,Front Door,motion,human
6980798216680508000,Sat,03,Jul,2021,13:22:23,Front Door,motion,other_motion
6980798543098023000,Sat,03,Jul,2021,13:23:41,Front Door,motion,human
6980798942529981000,Sat,03,Jul,2021,13:25:12,Front Door,motion,human
6980802352734014000,Sat,03,Jul,2021,13:38:27,Front Door,motion,human
6980805814477655000,Sat,03,Jul,2021,13:51:53,Front Door,motion,human
6980806239679417000,Sat,03,Jul,2021,13:53:33,Front Door,motion,human
6980813717217480000,Sat,03,Jul,2021,14:22:32,Front Door,motion,human
6980819575552871000,Sat,03,Jul,2021,14:45:16,Front Door,motion,other_motion
6980822646454488000,Sat,03,Jul,2021,14:57:13,Front Door,motion,human
6980824038023892000,Sat,03,Jul,2021,15:02:35,Front Door,motion,human
6980827272134266000,Sat,03,Jul,2021,15:15:08,Front Door,motion,human
6980827714515897000,Sat,03,Jul,2021,15:16:51,Front Door,motion,human
6980827989393804000,Sat,03,Jul,2021,15:17:56,Front Door,motion,human
6980829247819222000,Sat,03,Jul,2021,15:22:49,Front Door,motion,human
6980830892791696000,Sat,03,Jul,2021,15:29:12,Front Door,motion,other_motion
6980833083225017000,Sat,03,Jul,2021,15:37:41,Front Door,motion,human
6980846333199126000,Sat,03,Jul,2021,16:29:06,Front Door,motion,human
6980846672501542000,Sat,03,Jul,2021,16:30:26,Front Door,motion,human
6980848755560680000,Sat,03,Jul,2021,16:38:31,Front Door,motion,human
6980849180762443000,Sat,03,Jul,2021,16:40:09,Front Door,motion,human
6980849867957210000,Sat,03,Jul,2021,16:42:50,Front Door,motion,human
6980850361878449000,Sat,03,Jul,2021,16:44:44,Front Door,motion,human
6980850868684590000,Sat,03,Jul,2021,16:46:43,Front Door,motion,human
